Date,Open,High,Low,Close,Adj Close,Volume
1993-09-24,15.5625,15.71875,15.4375,15.5625,12.818635940551758,884000
1993-09-27,15.59375,15.875,15.59375,15.8125,13.024555206298828,1996400
1993-09-28,15.75,15.8125,15.65625,15.71875,12.947336196899414,1264400
1993-09-29,15.53125,15.65625,15.4375,15.5,12.767156600952148,1198400
1993-09-30,15.46875,15.5625,15.4375,15.46875,12.741418838500977,845200
1993-10-01,15.3125,15.625,15.3125,15.5,12.767156600952148,900000
1993-10-04,15.5,15.9375,15.5,15.78125,12.998817443847656,746800
1993-10-05,15.78125,15.875,15.6875,15.71875,12.947336196899414,716400
1993-10-06,15.65625,15.8125,15.65625,15.78125,12.998817443847656,1006400
1993-10-07,15.78125,15.8125,15.71875,15.71875,12.947336196899414,667600
1993-10-08,15.78125,16.5,15.75,16.46875,13.56510066986084,1163600
1993-10-11,16.40625,16.59375,16.34375,16.5,13.590842247009277,492400
1993-10-12,16.5,16.5,16.25,16.25,13.384921073913574,969600
1993-10-13,16.21875,16.28125,15.9375,16.125,13.281961441040039,2066400
1993-10-14,16.125,16.25,16.0,16.25,13.384921073913574,1386000
1993-10-15,16.25,16.3125,16.125,16.125,13.281961441040039,1890800
1993-10-18,16.1875,16.5,16.1875,16.25,13.384921073913574,607600
1993-10-19,16.25,16.5625,16.25,16.53125,13.616584777832031,896800
1993-10-20,16.53125,17.0,16.5,16.71875,13.771028518676758,1139200
1993-10-21,16.6875,16.75,16.625,16.71875,13.771028518676758,1240800
1993-10-22,16.75,17.0,16.6875,16.9375,13.951210021972656,440800
1993-10-25,16.84375,16.84375,16.46875,16.75,13.796760559082031,582400
1993-10-26,16.71875,16.96875,16.71875,16.96875,13.976943016052246,591200
1993-10-27,16.8125,16.8125,16.4375,16.6875,13.745291709899902,698800
1993-10-28,16.625,16.71875,16.625,16.71875,13.771028518676758,822800
1993-10-29,16.71875,16.875,16.5625,16.875,13.899724006652832,422000
1993-11-01,16.875,16.875,16.6875,16.875,13.899724006652832,514800
1993-11-02,16.8125,16.84375,16.75,16.8125,13.848243713378906,286800
1993-11-03,16.78125,16.9375,16.5625,16.65625,13.719547271728516,458800
1993-11-04,16.59375,16.65625,16.09375,16.15625,13.307698249816895,1105600
1993-11-05,16.125,16.3125,16.0625,16.3125,13.436402320861816,973200
1993-11-08,16.4375,16.5,16.34375,16.4375,13.539363861083984,325200
1993-11-09,16.4375,16.6875,16.4375,16.6875,13.745291709899902,353200
1993-11-10,16.65625,16.9375,16.5625,16.9375,13.951210021972656,298400
1993-11-11,16.8125,16.90625,16.71875,16.78125,13.822510719299316,640400
1993-11-12,16.71875,16.84375,16.71875,16.8125,13.848243713378906,814800
1993-11-15,16.84375,16.9375,16.8125,16.90625,13.925468444824219,433200
1993-11-16,16.90625,17.4375,16.90625,17.4375,14.363053321838379,506800
1993-11-17,17.34375,17.34375,17.125,17.21875,14.182870864868164,434800
1993-11-18,17.15625,17.15625,16.96875,17.0625,14.054167747497559,508800
1993-11-19,17.0625,17.09375,16.625,16.65625,13.719547271728516,1142800
1993-11-22,16.625,16.625,16.375,16.375,13.487885475158691,636400
1993-11-23,16.4375,16.4375,16.3125,16.34375,13.462143898010254,256800
1993-11-24,16.40625,16.71875,16.34375,16.71875,13.771028518676758,524400
1993-11-26,16.71875,16.84375,16.71875,16.84375,13.873984336853027,101600
1993-11-29,16.90625,17.21875,16.90625,17.1875,14.15712833404541,556000
1993-11-30,17.4375,17.875,17.4375,17.875,14.72341251373291,923200
1993-12-01,17.875,17.875,17.71875,17.875,14.72341251373291,1608800
1993-12-02,17.8125,17.84375,17.6875,17.75,14.620448112487793,881200
1993-12-03,17.75,17.8125,17.71875,17.8125,14.671928405761719,980000
1993-12-06,17.78125,17.8125,17.59375,17.625,14.517491340637207,1060800
1993-12-07,17.5625,17.5625,17.3125,17.3125,14.260090827941895,478400
1993-12-08,17.34375,17.375,17.1875,17.1875,14.15712833404541,426400
1993-12-09,17.21875,17.25,16.96875,17.0625,14.054167747497559,410800
1993-12-10,17.125,17.25,17.03125,17.09375,14.07990550994873,311600
1993-12-13,17.0,17.5,16.875,17.5,14.414527893066406,798000
1993-12-14,17.875,18.125,17.8125,17.875,14.72341251373291,4322000
1993-12-15,17.8125,17.84375,17.34375,17.40625,14.337308883666992,934400
1993-12-16,17.40625,17.5,17.09375,17.15625,14.131389617919922,1152400
1993-12-17,17.09375,17.375,17.09375,17.34375,14.285831451416016,1101200
1993-12-20,17.34375,17.5625,17.34375,17.4375,14.363053321838379,1174800
1993-12-21,17.5,17.59375,17.46875,17.5625,14.466014862060547,840400
1993-12-22,17.65625,17.8125,17.65625,17.71875,14.594715118408203,1799600
1993-12-23,17.75,17.75,17.46875,17.5,14.414527893066406,746000
1993-12-27,17.5,17.71875,17.5,17.71875,14.594715118408203,224000
1993-12-28,17.6875,17.75,17.625,17.71875,14.594715118408203,782000
1993-12-29,17.71875,17.8125,17.65625,17.75,14.620448112487793,540000
